id,property_id,model,value,product_id
1,2,product,Jeans,1,2
2,3,product,Capri,2
3,4,product,Destroy Wash,2|3|5|6|7
4,5,product,Skinny,2|3|5|9|10|6|7|8
5,1,offer,S,1|4|8|13|18|21|25|29|32|35|41|45|49|53|57|61
6,1,offer,M,2|5|9|10|14|16|19|22|26|30|33|36|39|42|46|50|54|58|62|65
7,1,offer,L,3|6|11|15|17|20|23|27|31|34|37|40|43|47|51|55|59|63|66|67
8,1,offer,XL,7|12|24|28|38|44|48|52|56|60|64|68
9,6,product,Blue,2|4|10|6|7|16
10,6,product,White,3|18
11,2,product,Cotton,3|10|6|7|8|12|15|17|18|19|20|21
12,2,product,Polyester,3|4|5|9|10|6|7|8|11|12|13|14|15|16|17|18
13,3,product,Normal,3|4|5|10|7|8
14,7,product,Pockets,3|7
15,7,product,Ripped,3|5|7|8
16,8,product,Elastic,3
17,4,product,Light,4
18,5,product,Regular,4
19,7,product,Lace,4|1
20,6,product,Denim Blue,5
21,2,product,Spandex,5|11|13|16
22,6,product,Black,9|11|14|15|20
23,3,product,Ninth,9|6
24,4,product,Dark,9|10
25,7,product,Embroidery,10
26,6,product,Red,8|13
27,4,product,Colored,8
28,6,product,Light Blue,1
29,5,product,Straight,1
30,3,product,Knee-Length,1
32,9,product,Regular,11|12|13|14|15|16
33,10,product,Sleeveless,11
34,11,product,Fashion,11|13|14|15|16
35,12,product,Fall,11|12|13|15|16
36,12,product,Spring,11|12|13|15|16
37,12,product,Summer,11|14
38,13,product,Solid,11|13|14|17|19|20|21
39,6,product,Cadetblue,12
40,10,product,Three Quarter,12|16
41,11,product,Casual,12
42,13,product,Floral,12|15
43,10,product,Full,13|15|17|18|19|20|21
44,12,product,Winter,13|15
45,10,product,Short,14
46,13,product,Butterfly,16
47,13,product,Print,16
48,6,product,Cappuccino,17
49,6,product,Khaki,19
50,6,product,Gray,21
