id,name,slug,code,category_id,brand_id,images,Related products,Accessories
1,Lemon,lemon,,1,0,lemon.png,,
2,Lime,lime,,1,0,lime.png,,
3,Green Grapes,green-grapes,,1,0,green-grapes.png,,
4,Black Grapes,black-grapes,,1,0,black-grapes.png,,
5,Avocado,avocado,,1,0,avocado.png,,
6,Banana,banana,,1,0,banana.png,,
7,Pinaple,pinaple,,1,0,pinaple.png,,
8,Cherry,cherry,,1,0,cherry.png,,
9,Kiwi,kiwi,,1,0,kiwi.png,,
10,Pear,pear,,1,0,pear.png,,
11,Melon,melon,,1,0,melon.png,,
12,Plum,plum,,1,0,plum.png,,
13,Mandarine,mandarine,,1,0,mandarine.png,,
14,Mango,mango,,1,0,mango.png,,
15,Apricot,apricot,,1,0,apricot.png,,
16,Apple,apple,,1,0,apple.png,,
17,Watermelon,watermelon,,1,0,watermelon.png,,
18,Potato,potato,,2,0,potato.png,,
19,Tomato,tomato,,2,0,tomato.png,,
20,Cucumber,cucumber,,2,0,cucumber.png,,
21,Beet,beet,,2,0,beet.png,,
22,Brocolli,brocolli,,2,0,brocolli.png,,
23,Cabbage,cabbage,,2,0,cabbage.png,,
24,Capsicum Red,capsicum-red,,2,0,capsicum-red.png,,
25,Carrot,carrot,,2,0,carrot.png,,
26,Cauliflower,cauliflower,,2,0,cauliflower.png,,
27,Garlic,garlic,,2,0,garlic.png,,
28,Ginger,ginger,,2,0,ginger.png,,
29,Green Peas,green-peas,,2,0,green-peas.png,,
30,Onion,onion,,2,0,onion.png,,
31,Sponge Gourd,sponge-gourd,,2,0,sponge-gourd.png,,
32,Eggplant,eggplant,,2,0,eggplant.png,,
33,Ground Cherry,ground-cherry,,3,0,ground-cherry.png,,
34,Gooseberry,gooseberry,,3,0,gooseberry.png,,
35,Cranberry,Cranberry,,3,0,cranberry.png,,
36,Strawberry,strawberry,,3,0,strawberry.png,,
37,Red Currant,red-currant,,3,0,red-currant.png,,
38,Raspberry,raspberry,,3,0,raspberry.png,,
39,Forest Mix,forest-mix,,3,0,forest-mix.png,,
40,Blueberry,blueberry,,3,0,blueberry.png,,
41,Black Currant,black-currant,,3,0,black-currant.png,,
42,Blackberry,blackberry,,3,0,blackberry.png,,
43,Brazil Nut,brazil-nut,,4,0,brazil-nut.png,,
44,Pecan,pecan,,4,0,pecan.png,,
45,Hazelnut,hazelnut,,4,0,hazelnut.png,,
46,Cashew,cashew,,4,0,cashew.png,,
47,Pistachio,pistachio,,4,0,pistachio.png,,
48,Walnut,walnut,,4,0,walnut.png,,
49,Kidney Bean,kidney-bean,,5,0,kidney-bean.png,,
50,Sesame Rice,sesame-rice,,5,0,sesame-rice.png,,
51,Rolled Oats,rolled-oats,,5,0,rolled-oats.png,,
52,Jasmine Rice,jasmine-rice,,5,0,jasmine-rice.png,,
53,Brown Rice,brown-rice,,5,0,brown-rice.png,,
54,Chanterelle,chanterelle,,6,0,chanterelle.png,,
55,Boletus,boletus,,6,0,boletus.png,,
56,Pleurotus,pleurotus,,6,0,pleurotus.png,,
57,Champignon,champignon,,6,0,champignon.png,,
58,Shiitake,shiitake,,6,0,shiitake.png,,
59,Raisins,raisins,,7,0,raisins.png,,
60,Rainier Cherries,rainier-cherries,,7,0,rainier-cherries.png,,
61,Mixed Fruits,mixed-fruits,,7,0,mixed-fruits.png,,
62,Mission Figs,mission-figs,,7,0,mission-figs.png,,
63,Dried Strawberries,dried-strawberries,,7,0,dried-strawberries.png,,
64,Dried Fig,dried-fig,,7,0,dried-fig.png,,
65,Dried Cranberries,dried-cranberries,,7,0,dried-cranberries.png,,
66,Dried Apricots,dried-apricots,,7,0,dried-apricots.png,,
67,Diced Kiwi,diced-kiwi,,7,0,diced-kiwi.png,,
68,Honeycomb,honeycomb,,8,0,honeycomb.png,,
69,Honey,honey,,8,0,honey.png,,
