id,name,slug,code,category_id,brand_id,images,Related products,Accessories
1,GameCourt Multicourt,game-court-multicourt,1204-0010,1,3,1_1.jpg|1_2.jpg|1_3.jpg,,13
2,GameCourt,game-court,1202-0001,2,3,2_1.jpg|2_2.jpg|2_3.jpg,,14
3,Adizero Club 2,adizero-club-2,1205-0002,1,3,3_1.jpg|3_2.jpg|3_3.jpg,,13
4,Free TR 8,free-tr-8,1205-0003,1,5,4_1.jpg|4_2.jpg|4_3.jpg,5,13|14
5,Free TF 8,free-tf-8,1210-0007,2,5,5_1.jpg|5_2.jpg|5_3.jpg,4,13|14
6,Downshifter 9,downshifter-9,1204-0019,2,2,6_1.jpg|6_2.jpg|6_3.jpg,7,14
7,Downshifter 10,downshifter-10,1202-0008,1,2,7_1.jpg|7_2.jpg|7_3.jpg,6,14
8,Run Swift FR,run-swift-fr,1204-0009,1,4,8_1.jpg|8_2.jpg|8_3.jpg,9|10,
9,Run Swift FT,Run-swift-ft,1205-0005,1,4,9_1.jpg|9_2.jpg|9_3.jpg,8|10,13
10,Run Swift FE,Run-swift-fe,1210-0006,2,4,10_1.jpg|10_2.jpg|10_3.jpg,8|9,14
11,Free Metcon 2,free-metcon-2,1305-0011,1,6,11_1.jpg|11_2.jpg|11_3.jpg,12,13
12,Free Metcon 3,Free-metcon-3,1307-0012,2,6,12_1.jpg|12_2.jpg|12_3.jpg,11,13|14
13,White shoelaces,white-shoelaces,1606-3435,3,7,13_1.jpeg,14,
14,Black shoelaces,Black-shoelaces,1606-3400,3,7,14_1.jpeg,13,
